store_id,sku,on_hand,reorder_point,safety_stock,lead_time_days,supplier_id,last_received
S001,SKU001,180,200,80,3,V001,2026-06-08
S001,SKU002,140,180,70,3,V001,2026-06-08
S001,SKU003,95,120,50,3,V001,2026-06-09
S001,SKU004,40,80,40,4,V002,2026-06-07
S001,SKU005,210,250,100,1,V003,2026-06-13
S001,SKU007,520,400,150,5,V004,2026-06-05
S001,SKU008,310,250,100,4,V005,2026-06-08
S001,SKU009,80,120,50,7,V006,2026-06-01
S001,SKU013,150,180,80,5,V007,2026-06-06
S001,SKU020,55,90,40,4,V002,2026-06-09
S002,SKU001,72,90,40,3,V001,2026-06-10
S002,SKU005,140,150,60,1,V003,2026-06-13
S002,SKU007,280,200,80,5,V004,2026-06-07
S002,SKU018,38,60,25,1,V003,2026-06-13
S003,SKU001,260,250,100,3,V001,2026-06-09
S003,SKU002,200,220,90,3,V001,2026-06-09
S003,SKU004,30,80,40,4,V002,2026-06-06
S003,SKU011,45,80,35,6,V008,2026-06-04
S003,SKU017,25,60,30,4,V002,2026-06-08
S007,SKU001,290,250,100,3,V001,2026-06-10
S007,SKU003,160,140,60,3,V001,2026-06-10
S007,SKU020,42,90,40,4,V002,2026-06-09
S010,SKU009,55,120,50,7,V006,2026-05-30
S010,SKU013,120,180,80,5,V007,2026-06-06
S010,SKU014,90,140,60,5,V007,2026-06-07
