store_id,store_name,city,region,format,sqft
S001,Bandra Hypermarket,Mumbai,West,Hypermarket,42000
S002,Indiranagar Express,Bangalore,South,Supermarket,8500
S003,Koramangala Flagship,Bangalore,South,Hypermarket,38000
S004,Connaught Place Premium,Delhi,North,Department,22000
S005,Park Street Convenience,Kolkata,East,Convenience,2400
S006,T Nagar Outlet,Chennai,South,Supermarket,9200
S007,Hitech City Mall,Hyderabad,South,Hypermarket,45000
S008,Salt Lake Express,Kolkata,East,Supermarket,7800
S009,Andheri West Store,Mumbai,West,Supermarket,8100
S010,Sector 18 Flagship,Noida,North,Department,21500
